Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
48,K4EMN,147.000000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Swainsboro ARES,,,,
49,KF4DG,147.390000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Statesboro STARS Club,,,,
50,NC4D,147.050000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Statesboro STARS 2m,,,,
51,W4CLA,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,High,Claxton Evans Co ARES,,,,
52,KF4DG,147.105000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Pembroke WVAN Tower Wide,,,,
53,W4LHS,146.970000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,High,Savannah ARES/SKYWARN,,,,
54,W4LHS7,442.700000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,High,Savannah CARS Flagship UHF,,,,
55,W4LHS2,147.210000,+,0.600000,Tone,210.7,210.7,023,NN,FM,5.00,,High,Savannah Bridge Repeater,,,,
56,W4LHS3,147.330000,+,0.600000,Tone,203.5,203.5,023,NN,FM,5.00,,High,Savannah East/EchoLink,,,,
57,W4LHS4,147.105000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Savannah Fusion/Analog,,,,
58,K4DBN,147.150000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,High,Dublin PSI/SKYWARN Linked,,,,
59,WA4HZX,147.360000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,High,Dublin ARC,,,,
60,K4GSO,146.880000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Dublin ARES Net,,,,
61,KD4IEZ,443.025000,+,5.000000,Tone,156.7,156.7,023,NN,FM,5.00,,High,Dublin Laurens UHF,,,,
62,KC4YNB,145.210000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,High,Eastman PSI Hub Wide,,,,
63,K4DBN2,145.490000,-,0.600000,Tone,77.0,77.0,023,NN,FM,5.00,,High,Cochran SE Linked/SKYWARN,,,,
64,WR4MG,146.895000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Hawkinsville MGRA,,,,
65,WR4MG2,146.955000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Perry Hospital/EchoLink,,,,
66,WR4MG3,147.195000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Perry West Wide Area,,,,
67,WM4B,146.670000,-,0.600000,Tone,82.5,82.5,023,NN,FM,5.00,,High,Warner Robins ARES/PSI,,,,
68,WM4B-U,443.150000,+,5.000000,Tone,82.5,82.5,023,NN,FM,5.00,,High,Warner Robins UHF ARES,,,,
69,WX4PCH,145.290000,-,0.600000,Tone,82.5,82.5,023,NN,FM,5.00,,High,Byron PSI Backbone/SKYWARN,,,,
70,WR4MG4,147.300000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Centerville MGRA Net,,,,
71,WA4ORT,146.850000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,High,Warner Robins Central GA,,,,
72,WR4MG5,442.900000,+,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Warner Robins MGRA UHF,,,,
73,KD4UTQ,146.895000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,High,Macon PSI Hub/SKYWARN,,,,
74,AA4RI,145.430000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,High,Macon ARC Intertie,,,,
75,WX4EMA,147.015000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,High,Macon-Bibb EMA ARES,,,,
76,WX4EM2,443.075000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,High,Macon-Bibb EMA UHF,,,,
77,KK4JPG,146.835000,-,0.600000,Tone,77.0,77.0,023,NN,FM,5.00,,High,Forsyth Monroe Co PSI,,,,
78,WX4BCA,147.285000,+,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,High,Jackson Butts Co SKYWARN,,,,
79,WB4GWA,145.390000,-,0.600000,Tone,110.9,110.9,023,NN,FM,5.00,,High,Griffin Spalding ARES,,,,
80,K4HYB,146.910000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,High,Griffin Spalding ARC,,,,
81,KF4QLF,441.850000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Griffin UHF,,,,
82,KI4FVI,146.715000,-,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,High,McDonough Henry Link Hub,,,,
83,KJ4KPY,145.170000,-,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,High,Stockbridge Henry Co,,,,
84,W9KLS,442.125000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,High,McDonough Henry UHF,,,,
85,KE4UAS,444.875000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,High,McDonough Henry Fire,,,,
86,KK4GQ,145.210000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,High,Fayetteville Fayette ARES,,,,
87,WX4PTC,444.675000,+,5.000000,Tone,77.0,77.0,023,NN,FM,5.00,,High,NWS Peachtree SKYWARN Hub,,,,
88,WX4PT2,444.600000,+,5.000000,Tone,77.0,77.0,023,NN,FM,5.00,,High,NWS Fayetteville SKYWARN,,,,
89,W4DOC,146.820000,-,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,High,Atlanta Radio Club BofA,,,,
90,W4BOC,146.760000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Stone Mountain DeKalb,,,,
91,NF4GA,145.470000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Sweat Mtn NFARL North,,,,
92,W4BTI,146.880000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Sweat Mtn Cobb ARES,,,,
93,W4GR,147.075000,+,0.600000,Tone,82.5,82.5,023,NN,FM,5.00,,High,Snellville Gwinnett ARES,,,,
94,W4AQL,145.150000,-,0.600000,Tone,167.9,167.9,023,NN,FM,5.00,,High,GA Tech Midtown Atlanta,,,,
95,W4BOC2,145.450000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Stone Mtn Secondary,,,,
96,N4CLA,147.060000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Roswell North Fulton,,,,
97,NF4GA2,444.475000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Sweat Mtn NFARL UHF,,,,
98,W4DOC2,443.100000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Atlanta Radio Club UHF,,,,
99,W4GR-U,442.100000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Gwinnett GARS UHF,,,,
100,MAR22,157.100000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,Coast Guard Liaison,,,,
101,MAR 06,156.300000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,Marine SAR Coordination,,,,
102,VTAC13,158.737500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,VHF Tactical Interop 13,,,,
103,UTAC41,453.462500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,UHF Tactical Interop 41,,,,
104,UTAC42,453.712500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,UHF Tactical Interop 42,,,,
105,AAR073,161.205000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Railroad Yard Switching,,,,
106,AAR042,160.740000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Railroad Yard Operations,,,,
107,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 2,,,,
108,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 3,,,,
109,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 4,,,,
110,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 6,,,,
111,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 16,,,,
112,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 17,,,,
113,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 18,,,,
114,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 21,,,,
115,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 8,,,,
116,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 9,,,,
117,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 10,,,,
118,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 11,,,,
119,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 12,,,,
120,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 13,,,,
121,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,FRS Only Ch 14,,,,
122,PURPDT,151.955000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Purple Dot,,,,
123,YELSTR,467.875000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Yellow Star,,,,
124,BRNSTR,467.925000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Brown Star,,,,
125,N4MXC,145.110000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Cochran Mid GA ARC,,,,
126,W8JI,147.225000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,High,Barnesville Lamar Co,,,,
127,NQ4AE,443.550000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,High,Griffin Open UHF,,,,
