Channel,Bank,Name,Frequency,Mode,Tone,Delay,Lockout,Description
137,5,MAR 80A,157.0250,FM,0,2,0,Marine Ch 80A Commercial Vessel Operations
138,5,MAR 01A,156.0500,FM,0,2,0,Marine Ch 01A Port Operations
139,5,MAR 05A,156.2500,FM,0,2,0,Marine Ch 05A Vessel Traffic Service VTS
140,5,MAR 07A,156.3500,FM,0,2,0,Marine Ch 07A Commercial Ship-to-Ship
141,5,MAR 08,156.4000,FM,0,2,0,Marine Ch 08 Commercial Fishing Operations
142,5,MAR 10,156.5000,FM,0,2,0,Marine Ch 10 Commercial Tugboats
143,5,MAR 11,156.5500,FM,0,2,0,Marine Ch 11 Commercial Vessel Docking
144,5,MAR 17,156.8500,FM,0,2,0,Marine Ch 17 State Local Maritime Control
145,5,MAR 18A,156.9000,FM,0,2,0,Marine Ch 18A Commercial Towing Dredging
146,5,MAR 19A,156.9500,FM,0,2,0,Marine Ch 19A Coast Guard Commercial
147,5,MAR 20A,157.0000,FM,0,2,0,Marine Ch 20A Port Authority
148,5,MAR 65A,156.2750,FM,0,2,0,Marine Ch 65A Marine Towing Salvage
149,5,MAR 66A,156.3250,FM,0,2,0,Marine Ch 66A Marina Fuel Dock
150,5,MAR 77,156.8750,FM,0,2,0,Marine Ch 77 Pilot Boat Transfer
151,6,VCALL10,155.7525,NFM,0,2,0,National VHF Interoperability Calling
152,6,VTAC11,151.1375,NFM,0,2,0,VHF Tactical Interoperability Channel 11
153,6,VTAC12,154.4525,NFM,0,2,0,VHF Tactical Interoperability Channel 12
154,6,VTAC13,158.7375,NFM,0,2,0,VHF Tactical Interoperability Channel 13
155,6,VTAC14,159.4725,NFM,0,2,0,VHF Tactical Interoperability Channel 14
156,6,VFIRE21,154.2800,NFM,0,2,0,National Fire Mutual Aid Simplex
157,6,VFIRE22,154.2650,NFM,0,2,0,Regional Fire Ground Tactical 22
158,6,VFIRE23,154.2950,NFM,0,2,0,Regional Fire Ground Tactical 23
159,6,VFIRE24,154.2725,NFM,0,2,0,Wildland Fire Incident Command
160,6,VFIRE25,154.2875,NFM,0,2,0,Wildland Fire Incident Command
161,6,VFIRE26,154.3025,NFM,0,2,0,Structure Fire Tactical Operations
162,6,VLAW31,155.4750,NFM,0,2,0,National Law Enforcement Emergency NLEEF
163,6,VLAW32,155.4825,NFM,0,2,0,Law Enforcement Tactical Pursuit Net
164,6,SAR-NAT,155.1600,NFM,0,2,0,National Search and Rescue Simplex
165,6,SAR-SEC,155.1750,NFM,0,2,0,Georgia SAR Ground K9 Team
166,6,UCALL40,453.2125,NFM,0,2,0,National UHF Interoperability Calling
167,6,UTAC41,453.4625,NFM,0,2,0,UHF Tactical Interoperability Channel 41
168,6,UTAC42,453.7125,NFM,0,2,0,UHF Tactical Interoperability Channel 42
169,6,UTAC43,453.8625,NFM,0,2,0,UHF Tactical Interoperability Channel 43
170,6,GEMA-1,154.9500,NFM,0,2,0,Georgia Emergency Management Agency
171,6,GEMA-2,154.9650,NFM,0,2,0,State EOC Emergency Operations Channel
172,6,GEMA-3,155.0250,NFM,0,2,0,State Disaster Field Coordination
173,6,GFC-1,159.2250,NFM,0,2,0,GA Forestry Commission Wildfire Dispatch
174,6,GFC-2,159.2850,NFM,0,2,0,Forestry Commission Air Attack Helitack
175,6,GFC-3,159.3300,NFM,0,2,0,Forestry Ground Firefighting Crews
176,6,GFC-4,159.3900,NFM,0,2,0,Forestry Dozers Heavy Equipment
177,6,GFC-5,159.4350,NFM,0,2,0,Forestry District Repeater
178,6,GDNR-1,155.4450,NFM,0,2,0,GA DNR Game Wardens Boating Safety
179,6,GDNR-2,159.3450,NFM,0,2,0,DNR Law Enforcement Tactical
180,6,GDNR-3,159.4650,NFM,0,2,0,DNR Wildlife Resources
181,7,K4HAO,146.6250,FM,88.5,2,0,Vidalia Four Rivers ARC Primary Mount Vernon
182,7,W4VDA,147.2400,FM,100.0,2,0,Vidalia SKYWARN Weather Net
183,7,W4MTR,444.8000,FM,141.3,2,0,Metter Candler County ARES RACES
184,7,K4GAS,146.9400,FM,100.0,2,0,Statesboro ARES SKYWARN Linked
185,7,KF4DG,147.3900,FM,100.0,2,0,Statesboro STARS Club 2m Local
186,7,NC4D,147.0500,FM,100.0,2,0,Statesboro STARS Club Net
187,7,WR4A,145.4500,FM,107.2,2,0,Swainsboro Emanuel County ARC
188,7,K4EMN,147.0000,FM,100.0,2,0,Swainsboro Emanuel County ARES
189,7,W4CLA,147.0750,FM,82.5,2,0,Claxton Evans County ARES
190,7,KF4DG-W,147.1050,FM,100.0,2,0,Pembroke WVAN Tower 40-mile Footprint
191,7,W4LHS-1,146.9700,FM,123.0,2,0,Savannah Chatham County ARES Primary
192,7,W4LHS-2,442.7000,FM,123.0,2,0,Savannah CARS Flagship UHF 850ft Tower
193,7,W4LHS-3,147.2100,FM,210.7,2,0,Savannah CARS Talmadge Bridge Repeater
194,7,W4LHS-4,147.3300,FM,203.5,2,0,Savannah CARS East EchoLink
195,7,W4LHS-5,147.1050,FM,100.0,2,0,Savannah CARS Dual-Mode Analog Fusion
196,7,K4DBN-1,147.1500,FM,123.0,2,0,Dublin Peach State Intertie SKYWARN Linked
197,7,WA4HZX,147.3600,FM,123.0,2,0,Dublin Amateur Radio Club
198,7,K4GSO,146.8800,FM,100.0,2,0,Dublin Laurens County ARES Net
199,7,KD4IEZ,443.0250,FM,156.7,2,0,Dublin Laurens County UHF Repeater
200,7,CALL-2M,146.5200,FM,0,2,0,National 2m FM Simplex Calling
201,7,CALL-70,446.0000,FM,0,2,0,National 70cm FM Simplex Calling
202,7,2MSIMP1,146.5500,FM,0,2,0,2m Simplex Secondary Chat
203,7,2MSIMP2,146.5800,FM,0,2,0,2m Simplex Secondary Chat
204,7,2MSIMP3,147.5250,FM,0,2,0,2m Upper Simplex
205,7,2MSIMP4,147.5550,FM,0,2,0,2m Upper Simplex
206,7,70SIMP1,446.1000,FM,0,2,0,70cm Secondary Simplex
207,7,70SIMP2,446.5000,FM,0,2,0,70cm Secondary Simplex
208,7,TYBEE-L,146.4450,FM,91.5,2,0,Tybee Island Crossband Link
209,7,HAGANS,147.3900,FM,131.8,2,0,Evans County Rural Repeater
210,7,W4NAS,146.8350,FM,127.3,2,0,Glennville Tattnall County ARES
211,8,KC4YNB,145.2100,FM,103.5,2,0,Eastman Peach State Intertie Mega-Hub
212,8,K4DBN-2,145.4900,FM,77.0,2,0,Cochran Southeastern Linked SKYWARN
213,8,WR4MG-1,146.8950,FM,107.2,2,0,Hawkinsville Middle GA Radio Assn
214,8,WR4MG-2,146.9550,FM,107.2,2,0,Perry Hospital MGRA EchoLink
215,8,WR4MG-3,147.1950,FM,107.2,2,0,Perry West Wide Footprint
216,8,WM4B-1,146.6700,FM,82.5,2,0,Warner Robins Houston Co ARES PSI Linked
217,8,WM4B-2,443.1500,FM,82.5,2,0,Warner Robins Houston Co ARES UHF
218,8,WX4PCH,145.2900,FM,82.5,2,0,Byron Peach State Intertie Backbone
219,8,WR4MG-4,147.3000,FM,107.2,2,0,Centerville MGRA Club Net
220,8,KD4UTQ,146.8950,FM,88.5,2,0,Macon Peach State Intertie Primary Hub
221,8,AA4RI,145.4300,FM,88.5,2,0,Macon ARC Cherry Blossom Intertie
222,8,WX4EMA,147.0150,FM,88.5,2,0,Macon-Bibb EMA ARES Linked
223,8,KK4JPG,146.8350,FM,77.0,2,0,Forsyth Monroe Co ARS PSI Linked
224,8,WX4BCA,147.2850,FM,131.8,2,0,Jackson Butts Co ARES Sylvan Grove
225,8,WB4GWA,145.3900,FM,110.9,2,0,Griffin Spalding Co ARES Primary
226,8,KI4FVI,146.7150,FM,146.2,2,0,McDonough Henry Link System Hub AllStar
227,8,KJ4KPY,145.1700,FM,146.2,2,0,Stockbridge Piedmont Henry Hospital
228,8,W9KLS,442.1250,FM,103.5,2,0,McDonough Henry Linked UHF
229,8,KE4UAS,444.8750,FM,100.0,2,0,McDonough Henry County Fire Dept
230,8,KK4GQ,145.2100,FM,131.8,2,0,Fayetteville Fayette Co ARC EchoLink
231,8,WX4PTC1,444.6750,FM,77.0,2,0,Peachtree City NWS HQ State SKYWARN Hub
232,8,WX4PTC2,444.6000,FM,77.0,2,0,Fayetteville NWS SKYWARN Secondary
233,8,W4DOC-1,146.8200,FM,146.2,2,0,Downtown Atlanta ARC Bank of America Plaza
234,8,W4BOC-1,146.7600,FM,107.2,2,0,Stone Mountain Alford ARC The 76
235,8,NF4GA-1,145.4700,FM,100.0,2,0,Sweat Mountain North Fulton Umbrella
236,8,W4BTI,146.8800,FM,100.0,2,0,Sweat Mountain Kennehoochee Cobb ARES
237,8,W4GR-1,147.0750,FM,82.5,2,0,Snellville Gwinnett ARS ARES Hub
238,8,W4AQL,145.1500,FM,167.9,2,0,Midtown Atlanta Georgia Tech ARC
239,8,W4BOC-2,145.4500,FM,107.2,2,0,Stone Mountain Alford ARC Secondary
240,8,W4DOC-2,443.1000,FM,100.0,2,0,Downtown Atlanta ARC UHF
241,9,GMRS 1,462.5625,NFM,0,2,0,GMRS FRS Channel 1
242,9,GMRS 2,462.5875,NFM,0,2,0,GMRS FRS Channel 2
243,9,GMRS 3,462.6125,NFM,0,2,0,GMRS FRS Channel 3
244,9,GMRS 4,462.6375,NFM,0,2,0,GMRS FRS Channel 4
245,9,GMRS 5,462.6625,NFM,0,2,0,GMRS FRS Channel 5
246,9,GMRS 6,462.6875,NFM,0,2,0,GMRS FRS Channel 6
247,9,GMRS 7,462.7125,NFM,0,2,0,GMRS FRS Channel 7
248,9,GMRS 15,462.5500,FM,0,2,0,GMRS Main Channel 15
249,9,GMRS 16,462.5750,FM,0,2,0,GMRS Main Channel 16
250,9,GMRS 17,462.6000,FM,0,2,0,GMRS Main Channel 17
251,9,GMRS 18,462.6250,FM,0,2,0,GMRS Main Channel 18
252,9,GMRS 19,462.6500,FM,0,2,0,GMRS Main Channel 19
253,9,GMRS 20,462.6750,FM,0,2,0,GMRS Main Channel 20 Emergency Traveler
254,9,GMRS 21,462.7000,FM,0,2,0,GMRS Main Channel 21
255,9,GMRS 22,462.7250,FM,0,2,0,GMRS Main Channel 22
256,9,GM20-RPT,462.6750,FM,141.3,2,0,GMRS 20 Open Travel Repeater Output
257,9,MURS 1,151.8200,NFM,0,2,0,MURS Channel 1 VHF License-Free
258,9,MURS 2,151.8800,NFM,0,2,0,MURS Channel 2 VHF License-Free
259,9,MURS 3,151.9400,NFM,0,2,0,MURS Channel 3 VHF License-Free
260,9,MURS 4,154.5700,FM,0,2,0,MURS Channel 4 Blue Dot Walmart Home Depot
261,9,MURS 5,154.6000,FM,0,2,0,MURS Channel 5 Green Dot Store Operations
262,9,RED-DOT,151.6250,NFM,0,2,0,Business Red Dot Home Depot Lowes
263,9,PURP-DT,151.9550,NFM,0,2,0,Business Purple Dot Warehouse Plant
264,9,BLU-STR,467.8500,NFM,0,2,0,Business Blue Star Lowes Target
265,9,YEL-STR,467.8750,NFM,0,2,0,Business Yellow Star Supermarkets
266,9,RED-STR,467.9000,NFM,0,2,0,Business Red Star Hardware Centers
267,9,BRN-STR,467.9250,NFM,0,2,0,Business Brown Star Facilities Security
268,9,FRS 08,467.5625,NFM,0,2,0,FRS Channel 8 Handheld Walkie
269,9,FRS 11,467.6375,NFM,0,2,0,FRS Channel 11 Handheld Walkie
270,9,FRS 14,467.7125,NFM,0,2,0,FRS Channel 14 Handheld Walkie
271,10,WX 1,162.5500,FM,0,2,0,NOAA WXN22 Dublin GA Laurens Treutlen
272,10,WX 2,162.4000,FM,0,2,0,NOAA KHB40 Savannah GA Coastal Chatham
273,10,WX 3,162.4750,FM,0,2,0,NOAA WXJ76 Statesboro GA Bulloch Evans
274,10,WX 4,162.4250,FM,0,2,0,NOAA WXJ36 Baxley Vidalia Strongest Mount Vernon
275,10,WX 5,162.4500,FM,0,2,0,NOAA KEC84 Augusta GA East Central Weather
276,10,WX 6,162.5000,FM,0,2,0,NOAA WXK90 Macon GA Middle Georgia Weather
277,10,WX 7,162.5250,FM,0,2,0,NOAA WXJ33 Waycross GA South Central Weather
278,10,ISS-VC,145.8000,FM,0,2,0,International Space Station Crew Voice Downlink
279,10,ISS-PKT,145.8250,FM,0,2,0,International Space Station APRS Packet 1200
280,10,SO-50,436.7950,FM,0,2,0,SaudiSat-1C SO-50 FM Voice Satellite
281,10,AO-91,145.9600,FM,0,2,0,RadFxSat AO-91 FM Voice Satellite
282,10,PO-101,145.9000,FM,0,2,0,Diwata-2 PO-101 FM Voice Satellite
283,10,APRS-NAT,144.3900,FM,0,2,0,North America 2m APRS Packet Digipeater
284,10,WX-ALRT1,162.4000,FM,0,2,0,NOAA Severe Weather Alert Standby
285,10,WX-ALRT2,162.4250,FM,0,2,0,NOAA Severe Weather Alert Standby Mount Vernon
286,10,WX-ALRT3,162.4750,FM,0,2,0,NOAA Severe Weather Alert Standby Statesboro
287,10,WX-ALRT4,162.5500,FM,0,2,0,NOAA Severe Weather Alert Standby Dublin
288,10,WX-SWAT,162.5000,FM,0,2,0,Middle GA Severe Weather Emergency Relay
289,10,SPACE-1,145.8000,FM,0,2,0,Orbital Satellite Voice Relay
290,10,SPACE-2,145.8250,FM,0,2,0,Orbital Satellite APRS Relay
291,10,RES-01,146.5200,FM,0,2,0,Spare Reserve Simplex Channel
292,10,RES-02,146.5500,FM,0,2,0,Spare Reserve Simplex Channel
293,10,RES-03,146.5800,FM,0,2,0,Spare Reserve Simplex Channel
294,10,RES-04,446.0000,FM,0,2,0,Spare Reserve Simplex Channel
295,10,RES-05,446.1000,FM,0,2,0,Spare Reserve Simplex Channel
296,10,RES-06,151.8200,NFM,0,2,0,Spare Reserve MURS Channel
297,10,RES-07,154.5700,FM,0,2,0,Spare Reserve Business Channel
298,10,RES-08,462.5625,NFM,0,2,0,Spare Reserve GMRS Channel
299,10,RES-09,462.6750,FM,0,2,0,Spare Reserve GMRS Travel Channel
300,10,RES-10,27.1850,AM,0,2,0,Spare Reserve CB Highway Channel
